n,k,risk,CG23,U
1.810000000000000000e+02,2.000000000000000000e+00,9.715331617875719999e-03,4.788024164116395226e-02,8.884340963149352233e-02
1.820000000000000000e+02,2.000000000000000000e+00,9.715331617875719999e-03,4.762267126781206950e-02,8.884340963149352233e-02
1.830000000000000000e+02,2.000000000000000000e+00,9.715331617875719999e-03,4.736785683263582819e-02,8.884340963149352233e-02
1.840000000000000000e+02,2.000000000000000000e+00,9.715331617875719999e-03,4.711575434602328222e-02,8.884340963149352233e-02
1.850000000000000000e+02,2.000000000000000000e+00,9.715331617875719999e-03,4.686632074946397997e-02,8.884340963149352233e-02
1.860000000000000000e+02,2.000000000000000000e+00,9.715331617875719999e-03,4.661951389104755650e-02,8.884340963149352233e-02
1.870000000000000000e+02,2.000000000000000000e+00,9.715331617875719999e-03,4.637529250173167555e-02,8.884340963149352233e-02
1.880000000000000000e+02,2.000000000000000000e+00,9.715331617875719999e-03,4.613361617235148260e-02,8.884340963149352233e-02
1.890000000000000000e+02,2.000000000000000000e+00,9.715331617875719999e-03,4.589444533134368065e-02,8.884340963149352233e-02
1.900000000000000000e+02,2.000000000000000000e+00,9.715331617875719999e-03,4.565774122315947176e-02,8.884340963149352233e-02
1.910000000000000000e+02,2.000000000000000000e+00,9.715331617875719999e-03,4.542346588734151591e-02,8.884340963149352233e-02
1.920000000000000000e+02,2.000000000000000000e+00,9.715331617875719999e-03,4.519158213824125275e-02,8.884340963149352233e-02
1.930000000000000000e+02,2.000000000000000000e+00,9.715331617875719999e-03,4.496205354535405541e-02,8.884340963149352233e-02
1.940000000000000000e+02,2.000000000000000000e+00,9.715331617875719999e-03,4.473484441424992186e-02,8.884340963149352233e-02
1.950000000000000000e+02,2.000000000000000000e+00,9.715331617875719999e-03,4.450991976807926881e-02,8.884340963149352233e-02
1.960000000000000000e+02,2.000000000000000000e+00,9.715331617875719999e-03,4.428724532963327493e-02,8.884340963149352233e-02
1.970000000000000000e+02,2.000000000000000000e+00,9.715331617875719999e-03,4.406678750393987903e-02,8.884340963149352233e-02
1.980000000000000000e+02,2.000000000000000000e+00,9.715331617875719999e-03,4.384851336137649686e-02,8.884340963149352233e-02
1.990000000000000000e+02,2.000000000000000000e+00,9.715331617875719999e-03,4.363239062128172058e-02,8.884340963149352233e-02
2.000000000000000000e+02,2.000000000000000000e+00,9.715331617875719999e-03,4.341838763604927154e-02,8.884340963149352233e-02
2.010000000000000000e+02,2.000000000000000000e+00,9.715331617875719999e-03,4.320647337568721269e-02,8.884340963149352233e-02
2.020000000000000000e+02,2.000000000000000000e+00,9.715331617875719999e-03,4.299661741282680139e-02,7.770811534823952871e-02
2.030000000000000000e+02,2.000000000000000000e+00,9.715331617875719999e-03,4.278878990816600142e-02,7.770811534823952871e-02
2.040000000000000000e+02,2.000000000000000000e+00,9.715331617875719999e-03,4.258296159633273570e-02,7.770811534823952871e-02
2.050000000000000000e+02,2.000000000000000000e+00,9.715331617875719999e-03,4.237910377215398094e-02,7.770811534823952871e-02
2.060000000000000000e+02,2.000000000000000000e+00,9.715331617875719999e-03,4.217718827731704867e-02,7.770811534823952871e-02
2.070000000000000000e+02,2.000000000000000000e+00,9.715331617875719999e-03,4.197718748741035427e-02,7.770811534823952871e-02
2.080000000000000000e+02,2.000000000000000000e+00,9.715331617875719999e-03,4.177907429933056666e-02,7.770811534823952871e-02
2.090000000000000000e+02,2.000000000000000000e+00,9.715331617875719999e-03,4.158282211904488351e-02,7.770811534823952871e-02
2.100000000000000000e+02,2.000000000000000000e+00,9.715331617875719999e-03,4.138840484969605327e-02,7.770811534823952871e-02
2.110000000000000000e+02,2.000000000000000000e+00,9.715331617875719999e-03,4.119579688003948553e-02,7.770811534823952871e-02
2.120000000000000000e+02,2.000000000000000000e+00,9.715331617875719999e-03,4.100497307320147972e-02,7.770811534823952871e-02
2.130000000000000000e+02,2.000000000000000000e+00,9.715331617875719999e-03,4.081590875574839239e-02,7.770811534823952871e-02
2.140000000000000000e+02,2.000000000000000000e+00,9.715331617875719999e-03,4.062857970705642530e-02,7.770811534823952871e-02
2.150000000000000000e+02,2.000000000000000000e+00,9.715331617875719999e-03,4.044296214897274977e-02,7.770811534823952871e-02
2.160000000000000000e+02,2.000000000000000000e+00,9.715331617875719999e-03,4.025903273575869024e-02,7.770811534823952871e-02
2.170000000000000000e+02,2.000000000000000000e+00,9.715331617875719999e-03,4.007676854430567565e-02,7.770811534823952871e-02
