replicate,method,n,k,risk,nominal_cost,anytime_U
53,Per_time,466,2,0.008830863006112476,1.5788040483792047,0.03895234603569855
53,GCC_T1,190,2,0.0129428006880947,1.641710315611689,0.08884340963149352
53,GCC_T4,162,2,0.0129428006880947,1.641710315611689,0.10186276543651669
53,Fixed_N,93,2,0.028944621000760014,1.642416678825641,0.174982676092472
53,Posthoc,654,2,0.007105007582891738,1.550357966916205,0.02579464148538289
54,Anytime,362,2,0.004683600326214657,1.5576542005554364,0.04470779190771206
54,Per_time,466,2,0.004683600326214657,1.5576542005554364,0.03895234603569855
54,GCC_T1,190,1,0.008139900104825933,1.6716886478932584,0.08007504176766067
54,GCC_T4,162,2,0.036377541902472874,1.4743400330100052,0.10186276543651669
54,Fixed_N,93,2,0.06212147926432155,1.4485177715501305,0.174982676092472
54,Posthoc,362,2,0.004683600326214657,1.5576542005554364,0.04470779190771206
55,Anytime,362,2,0.0077651319312579525,1.8712761654554846,0.04470779190771206
55,Per_time,466,2,0.004843954407522064,1.7391603456536593,0.03895234603569855
55,GCC_T1,146,1,0.01599239117104505,2.187166362881659,0.09435851123028417
55,GCC_T4,132,1,0.01599239117104505,2.187166362881659,0.11122389675566964
55,Fixed_N,93,1,0.01599239117104505,2.187166362881659,0.15392988417795642
55,Posthoc,518,2,0.0025821239873836705,1.5874058699250442,0.033967598945458415
56,Anytime,362,2,0.002673306817846501,1.733257340692764,0.04470779190771206
56,Per_time,466,2,0.002673306817846501,1.733257340692764,0.03895234603569855
56,GCC_T1,190,2,0.008465455101881375,2.003024813137405,0.08884340963149352
56,GCC_T4,162,2,0.008465455101881375,2.003024813137405,0.10186276543651669
56,Fixed_N,93,2,0.021977662750943656,1.7710057812191786,0.174982676092472
56,Posthoc,362,2,0.002673306817846501,1.733257340692764,0.04470779190771206
57,Anytime,362,2,0.00417940875221696,1.5825229622211001,0.04470779190771206
57,Per_time,466,2,0.00417940875221696,1.5825229622211001,0.03895234603569855
57,GCC_T1,190,2,0.00417940875221696,1.5825229622211001,0.08884340963149352
57,GCC_T4,162,2,0.019242336579709057,1.3278106384734762,0.10186276543651669
57,Fixed_N,93,2,0.019242336579709057,1.3278106384734762,0.174982676092472
57,Posthoc,362,2,0.00417940875221696,1.5825229622211001,0.04470779190771206
58,Anytime,362,2,0.0027753466442287772,1.8455442329510925,0.04470779190771206
58,Per_time,466,2,0.001062570300857546,1.7315537551430882,0.03895234603569855
58,GCC_T1,190,2,0.0027753466442287772,1.8455442329510925,0.08884340963149352
58,GCC_T4,162,2,0.0027753466442287772,1.8455442329510925,0.10186276543651669
58,Fixed_N,93,2,0.0056305303583995625,1.8319947846854354,0.174982676092472
58,Posthoc,433,2,0.001062570300857546,1.7315537551430882,0.03895234603569855
59,Anytime,271,1,0.0010708991998621064,1.572807608380569,0.04878717610342121
59,Per_time,402,1,0.0010708991998621064,1.572807608380569,0.035075444436606075
59,GCC_T1,146,1,0.0010708991998621064,1.572807608380569,0.09435851123028417
59,GCC_T4,132,1,0.0010708991998621064,1.572807608380569,0.11122389675566964
59,Fixed_N,93,1,0.0010708991998621064,1.572807608380569,0.15392988417795642
59,Posthoc,271,1,0.0010708991998621064,1.572807608380569,0.04878717610342121
60,Anytime,362,2,0.005297721828229045,1.6761362016944072,0.04470779190771206
60,Per_time,466,2,0.0029935329889622503,1.583910078509086,0.03895234603569855
60,GCC_T1,190,2,0.006621806240157639,1.7204340592505925,0.08884340963149352
60,GCC_T4,162,2,0.010640187050141912,1.8405312955724278,0.10186276543651669
60,Fixed_N,93,2,0.0229945342977894,1.561607030170284,0.174982676092472
60,Posthoc,539,2,0.0012506040690994993,1.458383767731635,0.033967598945458415
61,Anytime,362,2,0.004879857203572206,1.5121264228814288,0.04470779190771206
61,Per_time,466,2,0.004879857203572206,1.5121264228814288,0.03895234603569855
61,GCC_T1,190,2,0.00910837742342831,1.6507102081702507,0.08884340963149352
61,GCC_T4,162,2,0.00910837742342831,1.6507102081702507,0.10186276543651669
