n,k,risk,U,CG23,gain1,gain2
1.280000000000000000e+02,1.000000000000000000e+00,9.271710124191035775e-04,1.112238967556696406e-01,5.214011728764524761e-02,1.838531109499405292e-01,1.013203147745789928e-01
1.290000000000000000e+02,1.000000000000000000e+00,9.271710124191035775e-04,1.112238967556696406e-01,5.174651987837457917e-02,1.838531109499405292e-01,1.013203147745789928e-01
1.300000000000000000e+02,1.000000000000000000e+00,9.271710124191035775e-04,1.112238967556696406e-01,5.135881924131900644e-02,1.838531109499405292e-01,1.013203147745789928e-01
1.310000000000000000e+02,1.000000000000000000e+00,9.271710124191035775e-04,1.112238967556696406e-01,5.097688387106210500e-02,1.838531109499405292e-01,1.013203147745789928e-01
1.320000000000000000e+02,1.000000000000000000e+00,9.271710124191035775e-04,1.112238967556696406e-01,5.060058614289670437e-02,1.838531109499405292e-01,1.013203147745789928e-01
1.330000000000000000e+02,1.000000000000000000e+00,9.271710124191035775e-04,1.112238967556696406e-01,5.022980217075304760e-02,1.838531109499405292e-01,1.013203147745789928e-01
1.340000000000000000e+02,1.000000000000000000e+00,9.271710124191035775e-04,9.435851123028417275e-02,4.986441167131940716e-02,1.838531109499405292e-01,1.013203147745789928e-01
1.350000000000000000e+02,1.000000000000000000e+00,9.271710124191035775e-04,9.435851123028417275e-02,4.950429783404965839e-02,1.838531109499405292e-01,1.013203147745789928e-01
1.360000000000000000e+02,1.000000000000000000e+00,9.271710124191035775e-04,9.435851123028417275e-02,4.914934719674921709e-02,1.838531109499405292e-01,1.013203147745789928e-01
1.370000000000000000e+02,1.000000000000000000e+00,9.271710124191035775e-04,9.435851123028417275e-02,4.879944952648027773e-02,1.838531109499405292e-01,1.013203147745789928e-01
1.380000000000000000e+02,1.000000000000000000e+00,9.271710124191035775e-04,9.435851123028417275e-02,4.845449770550702001e-02,1.838531109499405292e-01,1.013203147745789928e-01
1.390000000000000000e+02,1.000000000000000000e+00,9.271710124191035775e-04,9.435851123028417275e-02,4.811438762204275910e-02,1.838531109499405292e-01,1.013203147745789928e-01
1.400000000000000000e+02,1.000000000000000000e+00,9.271710124191035775e-04,9.435851123028417275e-02,4.777901806556000136e-02,1.838531109499405292e-01,1.013203147745789928e-01
1.410000000000000000e+02,1.000000000000000000e+00,9.271710124191035775e-04,9.435851123028417275e-02,4.744829062644710660e-02,1.838531109499405292e-01,1.013203147745789928e-01
1.420000000000000000e+02,1.000000000000000000e+00,9.271710124191035775e-04,9.435851123028417275e-02,4.712210959980008690e-02,1.838531109499405292e-01,1.013203147745789928e-01
1.430000000000000000e+02,1.000000000000000000e+00,9.271710124191035775e-04,9.435851123028417275e-02,4.680038189314811303e-02,1.838531109499405292e-01,1.013203147745789928e-01
1.440000000000000000e+02,1.000000000000000000e+00,9.271710124191035775e-04,9.435851123028417275e-02,4.648301693793826378e-02,1.838531109499405292e-01,1.013203147745789928e-01
1.450000000000000000e+02,1.000000000000000000e+00,9.271710124191035775e-04,9.435851123028417275e-02,4.616992660458590220e-02,1.838531109499405292e-01,1.013203147745789928e-01
1.460000000000000000e+02,1.000000000000000000e+00,9.271710124191035775e-04,9.435851123028417275e-02,4.586102512093895994e-02,1.838531109499405292e-01,1.013203147745789928e-01
1.470000000000000000e+02,1.000000000000000000e+00,9.271710124191035775e-04,9.435851123028417275e-02,4.555622899398724390e-02,1.838531109499405292e-01,1.013203147745789928e-01
1.480000000000000000e+02,1.000000000000000000e+00,9.271710124191035775e-04,9.435851123028417275e-02,4.525545693467162428e-02,1.838531109499405292e-01,1.013203147745789928e-01
1.490000000000000000e+02,1.000000000000000000e+00,9.271710124191035775e-04,9.435851123028417275e-02,4.495862978565139806e-02,1.838531109499405292e-01,1.013203147745789928e-01
1.500000000000000000e+02,1.000000000000000000e+00,9.271710124191035775e-04,9.435851123028417275e-02,4.466567045189182017e-02,1.838531109499405292e-01,1.013203147745789928e-01
1.510000000000000000e+02,1.000000000000000000e+00,9.271710124191035775e-04,9.435851123028417275e-02,4.437650383394683290e-02,1.838531109499405292e-01,1.013203147745789928e-01
1.520000000000000000e+02,1.000000000000000000e+00,9.271710124191035775e-04,9.435851123028417275e-02,4.409105676381435551e-02,1.838531109499405292e-01,1.013203147745789928e-01
1.530000000000000000e+02,1.000000000000000000e+00,9.271710124191035775e-04,9.435851123028417275e-02,4.380925794324882355e-02,1.838531109499405292e-01,1.013203147745789928e-01
1.540000000000000000e+02,1.000000000000000000e+00,9.271710124191035775e-04,9.435851123028417275e-02,4.353103788442420213e-02,1.838531109499405292e-01,1.013203147745789928e-01
1.550000000000000000e+02,1.000000000000000000e+00,9.271710124191035775e-04,9.435851123028417275e-02,4.325632885284257101e-02,1.838531109499405292e-01,1.013203147745789928e-01
1.560000000000000000e+02,1.000000000000000000e+00,9.271710124191035775e-04,9.435851123028417275e-02,4.298506481238505844e-02,1.838531109499405292e-01,1.013203147745789928e-01
1.570000000000000000e+02,1.000000000000000000e+00,9.271710124191035775e-04,9.435851123028417275e-02,4.271718137242257879e-02,1.838531109499405292e-01,1.013203147745789928e-01
1.580000000000000000e+02,1.000000000000000000e+00,9.271710124191035775e-04,9.435851123028417275e-02,4.245261573688583617e-02,1.838531109499405292e-01,1.013203147745789928e-01
1.590000000000000000e+02,1.000000000000000000e+00,9.271710124191035775e-04,9.435851123028417275e-02,4.219130665521402673e-02,1.838531109499405292e-01,1.013203147745789928e-01
1.600000000000000000e+02,1.000000000000000000e+00,9.271710124191035775e-04,8.007504176766067072e-02,4.193319437510938802e-02,1.838531109499405292e-01,1.013203147745789928e-01
1.610000000000000000e+02,1.000000000000000000e+00,9.271710124191035775e-04,8.007504176766067072e-02,4.167822059700727194e-02,1.838531109499405292e-01,1.013203147745789928e-01
1.620000000000000000e+02,1.000000000000000000e+00,9.271710124191035775e-04,8.007504176766067072e-02,4.142632843019846550e-02,1.838531109499405292e-01,1.013203147745789928e-01
1.630000000000000000e+02,1.000000000000000000e+00,9.271710124191035775e-04,8.007504176766067072e-02,4.117746235053438425e-02,1.838531109499405292e-01,1.013203147745789928e-01
1.640000000000000000e+02,1.000000000000000000e+00,9.271710124191035775e-04,8.007504176766067072e-02,4.093156815964369560e-02,1.838531109499405292e-01,1.013203147745789928e-01
1.650000000000000000e+02,1.000000000000000000e+00,9.271710124191035775e-04,8.007504176766067072e-02,4.068859294560243228e-02,1.838531109499405292e-01,1.013203147745789928e-01
